#,Species,Event,sprite slug,Gender,Shiny,Ball,Origin Mark,Ability,Nature,OT,TID,Level,Language,Date Met,Touched?,Source,Disclosure,Proof,Proof ID,Location,Box,Notes,R3
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Bashful,Matt,533239,5,ENG,2023/02/24,FALSE,Self-redeemed,,Video,23022402,"Scarlet (Console 1) Profile 2",,,Pikachu | Matt | 533239 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Lonely,Matt,615964,5,ENG,2023/02/24,FALSE,Self-redeemed,,Video,23022403,"Scarlet (Console 1) Profile 3",,,Pikachu | Matt | 615964 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Calm,Matt,364892,5,ENG,2023/02/24,FALSE,Self-redeemed,,Video,23022404,"Scarlet (Console 1) Profile 4",,,Pikachu | Matt | 364892 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Quirky,Matt,385336,5,ENG,2023/02/26,FALSE,Self-redeemed,,Video,23022604,"Scarlet (Console 1) Profile 5",,,Pikachu | Matt | 385336 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Mild,Matt,135222,5,ENG,2023/02/26,FALSE,Self-redeemed,,Video,23022605,"Scarlet (Console 1) Profile 6",,,Pikachu | Matt | 135222 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Impish,Matt,581485,5,ENG,2023/02/26,FALSE,Self-redeemed,,Video,23022606,"Scarlet (Console 1) Profile 7",,,Pikachu | Matt | 581485 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,female,FALSE,normal,paldea,Static,Calm,Matt,734608,5,ENG,2023/02/26,FALSE,Self-redeemed,,Video,23022607,"Scarlet (Console 1) Profile 8",,,Pikachu | Matt | 734608 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Hasty,Matt,468436,5,ENG,2023/02/26,FALSE,Self-redeemed,,Video,23022608,"Violet (Console 1) Profile 1",,,Pikachu | Matt | 468436 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,female,FALSE,normal,paldea,Static,Jolly,Matt,418743,5,ENG,2023/02/26,FALSE,Self-redeemed,,Video,23022609,"Violet (Console 1) Profile 2",,,Pikachu | Matt | 418743 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Docile,Matt,222111,5,ENG,2023/02/26,FALSE,Self-redeemed,,Video,23022610,"Violet (Console 1) Profile 3",,,Pikachu | Matt | 222111 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Jolly,Matt,767941,5,ENG,2023/02/26,FALSE,Self-redeemed,,Video,23022611,"Violet (Console 1) Profile 4",,,Pikachu | Matt | 767941 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Brave,Matt,154011,5,JPN,2023/02/26,FALSE,Self-redeemed,,Video,23022612,"Violet (Console 1) Profile 5",,,Pikachu | Matt | 154011 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Jolly,Matt,441614,5,JPN,2023/02/26,FALSE,Self-redeemed,,Video,23022613,"Violet (Console 1) Profile 6",,,Pikachu | Matt | 441614 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Jolly,Matt,475448,5,KOR,2023/02/26,FALSE,Self-redeemed,,Video,23022614,"Violet (Console 1) Profile 7",,,Pikachu | Matt | 475448 | Self-redeemed | Video |  | 
0025,Pikachu,gen9-flychu,pikachu,male,FALSE,normal,paldea,Static,Lonely,Matt,178578,5,KOR,2023/02/26,FALSE,Self-redeemed,,Video,23022615,"Violet (Console 1) Profile 8",,,Pikachu | Matt | 178578 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/16,FALSE,Self-redeemed,,Video,23021602,"Scarlet (Console 1) Profile 2",,,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/16,FALSE,Self-redeemed,,Video,23021603,"Scarlet (Console 1) Profile 3",,,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
